,pmid,old_category,new_category
52,26392354,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
53,25061071,3c-4c-5c-hi-c-chia-pet,"{'/3c-4c-5c-hi-c-chia-pet-category', '/fish-1-category', '/fish-2-category'}"
54,29334377,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
55,28137286,3c-4c-5c-hi-c-chia-pet,{'/3c-4c-5c-hi-c-chia-pet-category'}
56,21778530,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
57,23442169,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
58,18840289,acgh-and-snp-microarray,"{'/rna-seq-category', '/acgh-and-snp-microarray-category'}"
59,22023820,acgh-and-snp-microarray,"{'/whole-genome-resequencing-category', '/snp-array-category', '/acgh-and-snp-microarray-category'}"
60,15040819,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
61,17341461,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
62,16787995,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
63,25202135,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
64,19908389,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
65,16716215,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
66,17192189,acgh-and-snp-microarray,"{'/rna-seq-category', '/acgh-and-snp-microarray-category'}"
67,21228048,acgh-and-snp-microarray,"{'/rna-seq-category', '/acgh-and-snp-microarray-category'}"
68,24587839,acgh-and-snp-microarray,"{'/rna-seq-category', '/acgh-and-snp-microarray-category'}"
69,15381628,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
70,23431203,acgh-and-snp-microarray,"{'/rna-seq-category', '/acgh-and-snp-microarray-category'}"
71,21884636,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
72,12824351,acgh-and-snp-microarray,"{'/amplicon-sequencing-category', '/snp-array-category', '/acgh-and-snp-microarray-category'}"
73,25503062,acgh-and-snp-microarray,"{'/snp-array-category', '/whole-exome-sequencing-category', '/amplicon-sequencing-category', '/acgh-and-snp-microarray-category', '/whole-genome-resequencing-category', '/de-novo-genome-sequencing-category'}"
74,20071741,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
75,21920941,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
76,21486749,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
77,24305553,acgh-and-snp-microarray,"{'/acgh-and-snp-microarray-category', '/snp-array-category', '/gene-expression-microarray-category'}"
78,18024967,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
79,23742665,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
80,18519066,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
81,26249809,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
82,23014630,acgh-and-snp-microarray,"{'/protein-sequence-analysis-category', '/gene-expression-microarray-category'}"
83,15531611,acgh-and-snp-microarray,"{'/amplicon-sequencing-category', '/snp-array-category', '/acgh-and-snp-microarray-category'}"
84,14988118,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
85,26684930,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
86,16000008,acgh-and-snp-microarray,"{'/acgh-and-snp-microarray-category', '/snp-array-category', '/gene-expression-microarray-category'}"
87,21134892,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
88,20418341,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
89,21357574,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
90,19381972,acgh-and-snp-microarray,"{'/amplicon-sequencing-category', '/snp-array-category', '/acgh-and-snp-microarray-category'}"
91,19581427,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
92,17237062,acgh-and-snp-microarray,"{'/acgh-and-snp-microarray-category', '/snp-array-category', '/gene-expression-microarray-category'}"
93,21666266,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
94,19759197,acgh-and-snp-microarray,"{'/rna-seq-category', '/acgh-and-snp-microarray-category'}"
95,17214880,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
96,26708336,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
97,17710137,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
98,17234643,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
99,18953044,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
100,18974074,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
101,22594998,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
102,15180932,acgh-and-snp-microarray,"{'/amplicon-sequencing-category', '/snp-array-category', '/acgh-and-snp-microarray-category'}"
103,17267432,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
104,27185889,acgh-and-snp-microarray,{'/genome-annotation2-category'}
105,16597336,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
106,15910681,acgh-and-snp-microarray,"{'/snp-array-category', '/whole-exome-sequencing-category', '/amplicon-sequencing-category', '/acgh-and-snp-microarray-category', '/whole-genome-resequencing-category', '/de-novo-genome-sequencing-category'}"
107,24476156,acgh-and-snp-microarray,{'/genome-annotation2-category'}
108,19828576,acgh-and-snp-microarray,"{'/rna-seq-category', '/acgh-and-snp-microarray-category'}"
109,16820431,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
110,22539962,acgh-and-snp-microarray,"{'/rna-seq-category', '/acgh-and-snp-microarray-category'}"
111,18776909,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
112,21527027,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
113,19454602,acgh-and-snp-microarray,"{'/chip-seq-category', '/dna-modifications-analysis-category', '/single-cell-rna-seq-category', '/small-rna-seq-category', '/rna-seq-category', '/cage-category', '/whole-exome-sequencing-category', '/acgh-and-snp-microarray-category', '/metatranscriptomics-category', '/gene-expression-analysis-category', '/protein-sequence-analysis-category', '/whole-genome-resequencing-category', '/gene-expression-microarray-category', '/protein-interaction-analysis-category'}"
114,19450266,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
115,25957352,acgh-and-snp-microarray,"{'/whole-genome-resequencing-category', '/snp-array-category', '/acgh-and-snp-microarray-category'}"
116,20031972,acgh-and-snp-microarray,"{'/rna-seq-category', '/acgh-and-snp-microarray-category'}"
117,19828052,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
118,15980547,acgh-and-snp-microarray,"{'/amplicon-sequencing-category', '/snp-array-category', '/acgh-and-snp-microarray-category'}"
119,28695067,acgh-and-snp-microarray,"{'/gene-expression-microarray-category', '/small-rna-seq-category', '/rna-seq-category', '/acgh-and-snp-microarray-category'}"
120,19903341,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
121,21398628,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
122,11827952,acgh-and-snp-microarray,"{'/acgh-and-snp-microarray-category', '/snp-array-category', '/gene-expression-microarray-category'}"
123,17122085,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
124,15807904,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
125,18077431,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
126,25280750,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
127,22967011,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
128,18831757,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
129,24464287,acgh-and-snp-microarray,"{'/rna-seq-category', '/acgh-and-snp-microarray-category'}"
130,19542187,acgh-and-snp-microarray,"{'/rna-seq-category', '/acgh-and-snp-microarray-category'}"
131,19276148,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
132,22815357,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
133,18296463,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
134,20406469,acgh-and-snp-microarray,"{'/amplicon-sequencing-category', '/snp-array-category', '/acgh-and-snp-microarray-category'}"
135,19849861,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
136,18252739,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
137,15961487,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
138,16524459,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
139,19687029,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
140,23047560,acgh-and-snp-microarray,"{'/amplicon-sequencing-category', '/snp-array-category', '/acgh-and-snp-microarray-category'}"
141,23589652,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
142,17660211,acgh-and-snp-microarray,"{'/amplicon-sequencing-category', '/snp-array-category', '/acgh-and-snp-microarray-category'}"
143,18402679,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
144,17846035,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
145,17384021,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
146,20858232,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
147,16960832,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
148,19117518,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
149,19849862,acgh-and-snp-microarray,"{'/amplicon-sequencing-category', '/snp-array-category', '/acgh-and-snp-microarray-category'}"
150,19706745,acgh-and-snp-microarray,"{'/ms-based-untargeted-metabolomics-category', '/ms-based-targeted-metabolomics-category', '/nmr-based-metabolomics-category', '/rna-seq-category', '/acgh-and-snp-microarray-category', '/metabolic-profiles-analysis-category'}"
151,20398270,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
152,16845053,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
153,20462408,acgh-and-snp-microarray,"{'/snp-array-category', '/acgh-and-snp-microarray-category'}"
154,16787969,acgh-and-snp-microarray,{'/acgh-and-snp-microarray-category'}
